DATE,HOUR,DBT,DPT,RH,GHR,DNR,DHR,CoolingEnergy
1/1/12,1,2.765863037,-0.14029541,81.17998505,0,0,0,0
1/1/12,2,0.725946045,-2.243322754,80.51826477,0,0,0,0
1/1/12,3,-1.356207275,-4.530249023,78.98860931,0,0,0,0
1/1/12,4,-3.641577148,-8.035559082,71.56555939,0,0,0,0
1/1/12,5,-5.615820312,-11.13718262,65.07964325,0,0,0,0
1/1/12,6,-6.580877686,-12.51602783,62.72517014,0,0,0,0
1/1/12,7,-6.76138916,-12.79086914,62.20415115,0,0,0,0
1/1/12,8,-6.300024414,-13.16123047,58.27167511,0,0,0,0
1/1/12,9,-5.492712402,-14.28619995,49.99812698,33,0,33,0
1/1/12,10,-4.991003418,-15.25546875,44.44705582,61,0,61,0
1/1/12,11,-4.605200195,-15.73840942,41.48059845,153,23,144,0
1/1/12,12,-4.305700684,-15.99368896,39.70582962,309,335,168,0
1/1/12,13,-4.399816895,-16.20667114,39.28570938,314,384,154,0
1/1/12,14,-4.942938232,-16.57562866,39.68767929,166,47,148,0
1/1/12,15,-6.032598877,-17.15317383,41.07473755,99,0,99,0
1/1/12,16,-7.344763184,-17.61607971,43.6878891,53,0,53,0
1/1/12,17,-8.233465576,-17.72983398,46.35199738,0,0,0,0
1/1/12,18,-8.54855957,-17.61389771,47.96899414,0,0,0,0
1/1/12,19,-8.596075439,-17.45361938,48.80136871,0,0,0,0
1/1/12,20,-8.580023193,-17.25241699,49.57214355,0,0,0,0
1/1/12,21,-8.686376953,-17.05634155,50.81440735,0,0,0,0
1/1/12,22,-8.959814453,-16.84799805,52.82534409,0,0,0,0
1/1/12,23,-9.246130371,-16.61020508,55.10775375,0,0,0,0
1/1/12,24,-9.457006836,-16.41644897,56.94048309,0,0,0,0
1/2/12,1,-9.624517822,-16.27307739,58.38844299,0,0,0,0
1/2/12,2,-9.723913574,-16.13010254,59.55130005,0,0,0,0
1/2/12,3,-9.793920898,-15.96796265,60.69290543,0,0,0,0
1/2/12,4,-10.07785645,-15.79877319,62.94466782,0,0,0,0
1/2/12,5,-10.52945557,-15.59796753,66.32806396,0,0,0,0
1/2/12,6,-10.92371216,-15.3274292,69.98492432,0,0,0,0
1/2/12,7,-11.18488159,-14.9921936,73.45863342,0,0,0,0
1/2/12,8,-10.64813843,-14.83029785,71.3342514,0,0,0,0
1/2/12,9,-9.057623291,-14.97312012,62.19812012,142,549,51,0
1/2/12,10,-7.084936523,-15.20770874,52.34881592,286,749,68,0
1/2/12,11,-5.314001465,-15.37952271,45.08268738,394,837,78,0
1/2/12,12,-4.034765625,-15.52365723,40.45283127,450,873,82,0
1/2/12,13,-3.328588867,-15.66367187,37.93008041,447,875,82,0
1/2/12,14,-3.218267822,-15.7069458,37.48485565,385,840,76,0
1/2/12,15,-3.680822754,-15.60593262,39.12736893,272,757,64,0
1/2/12,16,-4.622808838,-14.90598145,44.49229431,129,624,37,0
1/2/12,17,-5.454748535,-13.92114868,51.36400986,0,0,0,0
1/2/12,18,-5.860968018,-13.29096069,55.76240921,0,0,0,0
1/2/12,19,-6.081152344,-12.76349487,59.180336,0,0,0,0
1/2/12,20,-6.099737549,-12.13175049,62.3584404,0,0,0,0
1/2/12,21,-5.877661133,-11.41797485,64.91883087,0,0,0,0
1/2/12,22,-5.589788818,-10.72757568,67.10128021,0,0,0,0
1/2/12,23,-5.42053833,-10.15949097,69.29212952,0,0,0,0
1/2/12,24,-5.492956543,-9.781713867,71.78091431,0,0,0,0
1/3/12,1,-5.851721191,-9.6449646,74.5637207,0,0,0,0
1/3/12,2,-6.29944458,-9.697088623,76.83863831,0,0,0,0
1/3/12,3,-6.622747803,-9.816900635,78.02445984,0,0,0,0
1/3/12,4,-6.830511475,-9.907720947,78.71268463,0,0,0,0
1/3/12,5,-7.003790283,-9.950445557,79.49928284,0,0,0,0
1/3/12,6,-7.163305664,-9.965643311,80.3846283,0,0,0,0
1/3/12,7,-7.196783447,-9.938391113,80.76540375,0,0,0,0
1/3/12,8,-6.387884521,-9.662298584,77.57207489,0,0,0,0
1/3/12,9,-4.435491943,-9.081671143,70.01068878,96,230,58,0
1/3/12,10,-1.842962646,-8.491796875,60.44478989,197,313,106,0
1/3/12,11,0.597344971,-8.036383057,52.41734314,275,351,142,0
1/3/12,12,2.002648926,-7.778265381,48.34711838,323,397,155,0
1/3/12,13,2.205133057,-7.672766113,48.04478836,338,476,139,0
1/3/12,14,1.758508301,-7.302435303,51.03912354,260,322,141,0
1/3/12,15,1.068933105,-6.438696289,57.30325699,170,224,107,0
1/3/12,16,0.333642578,-5.701696777,63.9175415,90,236,54,0
1/3/12,17,-0.139044189,-5.465338135,67.34315491,0,0,0,0
1/3/12,18,-0.481329346,-5.468054199,69.0258255,0,0,0,0
1/3/12,19,-0.807928467,-5.452062988,70.77487946,0,0,0,0
1/3/12,20,-1.06519165,-5.34152832,72.72542572,0,0,0,0
1/3/12,21,-1.310675049,-5.184729004,74.92949677,0,0,0,0
1/3/12,22,-1.501654053,-4.999029541,77.06182861,0,0,0,0
1/3/12,23,-1.617559814,-4.836798096,78.67920685,0,0,0,0
1/3/12,24,-1.831671143,-4.787481689,80.22622681,0,0,0,0
1/4/12,1,-2.354498291,-4.89105835,82.73207855,0,0,0,0
1/4/12,2,-3.062719727,-4.984075928,86.58292389,0,0,0,0
