DATE,HOUR,DBT,DPT,RH,GHR,DNR,DHR,CoolingEnergy
1/1/12,1,20.79122314,16.84029541,78.12702942,0,0,0,0
1/1/12,2,20.70830688,16.74151001,78.03616333,0,0,0,0
1/1/12,3,20.58971558,16.76748047,78.73801422,0,0,0,0
1/1/12,4,20.48311768,16.86062012,79.72685242,0,0,0,0
1/1/12,5,20.44338379,16.98903809,80.57575989,0,0,0,0
1/1/12,6,20.46468506,17.10708008,81.07378387,0,0,0,0
1/1/12,7,20.63723145,17.16106567,80.49032593,0,0,0,0
1/1/12,8,21.09786377,17.09743652,77.92753601,33,179,22,0
1/1/12,9,21.69603882,16.92699585,74.31711578,219,564,71,24484851.36
1/1/12,10,22.27050171,16.81270752,71.2403183,409,735,93,64475580.5
1/1/12,11,22.75155029,16.78560791,69.0697937,561,816,106,65788267.39
1/1/12,12,22.99859009,16.81237183,68.15947723,265,24,249,42983183.26
1/1/12,13,23.05706177,16.84319458,68.05168915,473,240,315,57479709.84
1/1/12,14,23.01137695,16.80932007,68.09364319,444,238,295,57673554.56
1/1/12,15,22.82305298,16.74141846,68.57857513,535,797,105,51969037.63
1/1/12,16,22.46401367,16.78185425,70.26927185,375,704,92,66207951.36
1/1/12,17,21.96312866,17.13375244,74.07858276,105,62,90,29284639.81
1/1/12,18,21.58596191,17.61654053,78.15245056,0,0,0,0
1/1/12,19,21.44466553,17.92012939,80.35286713,0,0,0,0
1/1/12,20,21.40096436,18.11089478,81.54001617,0,0,0,0
1/1/12,21,21.4069458,18.26915894,82.3239212,0,0,0,0
1/1/12,22,21.40078125,18.33898315,82.71643066,0,0,0,0
1/1/12,23,21.37093506,18.30443726,82.68856049,0,0,0,0
1/1/12,24,21.33718262,18.25280151,82.59178925,0,0,0,0
1/2/12,1,21.3052002,18.20559082,82.50912476,0,0,0,0
1/2/12,2,21.30452881,18.12435303,82.0927887,0,0,0,0
1/2/12,3,21.32351074,18.0112854,81.41677094,0,0,0,0
1/2/12,4,21.32122192,17.94902954,81.11004639,0,0,0,0
1/2/12,5,21.29891357,17.95675049,81.26056671,0,0,0,0
1/2/12,6,21.27401123,17.9288269,81.24185181,0,0,0,0
1/2/12,7,21.3293396,17.92369995,80.94069672,0,0,0,84862944.17
1/2/12,8,21.67922363,17.89296875,79.07274628,32,171,21,83617454.2
1/2/12,9,22.27855835,17.759729,75.59784698,214,552,71,94328906.06
1/2/12,10,22.95006714,17.86589966,73.06520081,403,723,93,108744708.4
1/2/12,11,23.52211914,18.14821777,71.84696198,554,804,105,120285096.9
1/2/12,12,23.84624634,18.25496826,70.93209839,648,842,112,125611348.4
1/2/12,13,24.00020752,18.20897827,70.07622528,676,851,114,125243333
1/2/12,14,24.00557861,18.08144531,69.49477386,635,834,112,134332272.4
1/2/12,15,23.81087646,17.90554199,69.53961945,531,788,105,138311509.4
1/2/12,16,23.34316406,17.7791687,70.96079254,373,695,92,140089747.4
1/2/12,17,22.63726196,18.22353516,76.15633392,185,510,67,136062524.8
1/2/12,18,22.09829102,18.75777588,81.37115479,0,0,0,98950736.3
1/2/12,19,21.82640991,18.83632813,83.13893127,0,0,0,90682318.47
1/2/12,20,21.6305481,18.85628662,84.24488068,0,0,0,88201876.43
1/2/12,21,21.48821411,18.8996521,85.21213531,0,0,0,86846611
1/2/12,22,21.340448,18.92019043,86.09709167,0,0,0,85740434.8
1/2/12,23,21.18547974,18.89559326,86.78580475,0,0,0,0
1/2/12,24,21.01943359,18.87087402,87.53996277,0,0,0,0
1/3/12,1,20.84261475,18.84887085,88.37516022,0,0,0,0
1/3/12,2,20.68905029,18.82650146,89.08977509,0,0,0,0
1/3/12,3,20.54863892,18.8064209,89.75130463,0,0,0,0
1/3/12,4,20.41253052,18.8366333,90.67893982,0,0,0,0
1/3/12,5,20.28484497,18.93627319,91.96711731,0,0,0,0
1/3/12,6,20.13912354,19.06670532,93.55747223,0,0,0,0
1/3/12,7,20.00093994,19.21669922,95.24694061,0,0,0,88175574.27
1/3/12,8,19.97817383,19.18410645,95.1878891,30,162,20,85735834.75
1/3/12,9,20.24059448,19.14354858,93.41873169,82,0,82,89254367.67
1/3/12,10,21.00551758,19.34169922,90.22412109,168,19,160,89812382.21
1/3/12,11,22.08171997,19.52306519,85.43203735,231,25,217,96822220.15
1/3/12,12,22.99102173,19.4862915,80.65742493,639,828,111,121083415.3
1/3/12,13,23.60265503,19.24251709,76.56281281,667,837,113,126559670
1/3/12,14,23.83937988,18.93163452,74.03070068,628,821,111,134253100
1/3/12,15,23.78212891,18.65203247,72.99962616,525,776,104,137459056.9
1/3/12,16,23.48189697,18.67800293,74.45254517,370,684,91,141126673.5
1/3/12,17,22.90322266,19.17089233,79.51142883,183,500,67,136936222.1
1/3/12,18,22.3409668,19.67333374,84.88269806,0,0,0,102139077.9
1/3/12,19,21.89370117,19.84871826,88.18144989,0,0,0,93538977.88
1/3/12,20,21.4598938,19.82851563,90.43792725,0,0,0,91467368.99
1/3/12,21,21.06820068,19.73330078,92.09093475,0,0,0,89448573.96
1/3/12,22,20.81923828,19.59456787,92.70931244,0,0,0,87658807.79
1/3/12,23,20.73867188,19.45742188,92.37970734,0,0,0,0
1/3/12,24,20.78536377,19.37493286,91.64318085,0,0,0,0
1/4/12,1,20.91112671,19.36312256,90.87018585,0,0,0,0
1/4/12,2,21.05327759,19.39037476,90.23259735,0,0,0,0
1/4/12,3,21.19286499,19.41848145,89.61932373,0,0,0,0
1/4/12,4,21.28133545,19.45995483,89.36446381,0,0,0,0
1/4/12,5,21.29802856,19.53234253,89.6756897,0,0,0,0
1/4/12,6,21.29598389,19.62438354,90.2010498,0,0,0,0
1/4/12,7,21.33623657,19.71199951,90.46942902,0,0,0,92598619.45
1/4/12,8,21.69152222,19.57485352,87.77290344,30,163,20,90787461.89
1/4/12,9,22.43169556,19.30840454,82.52262115,211,543,70,102360727.3
1/4/12,10,23.21752319,19.2222229,78.26364899,398,713,92,113948238.3
1/4/12,11,23.77993164,19.06170044,74.90129089,129,0,129,101969105.6
1/4/12,12,24.04866943,18.82900391,72.63842773,193,4,190,109639117.5
1/4/12,13,24.25597534,18.62581787,70.83498383,672,843,114,126017418.8
1/4/12,14,24.27105103,18.3333374,69.48642731,633,827,112,133724026.2
1/4/12,15,24.07015381,18.04851685,69.08278656,282,75,241,124222894.1
1/4/12,16,23.63460693,17.87316284,70.13843536,158,11,154,114749570.5
1/4/12,17,23.04424438,18.28548584,74.59061432,187,508,67,123204598.7
1/4/12,18,22.69207153,18.84493408,78.91461182,0,0,0,98178297.49
1/4/12,19,22.43001709,18.99501953,80.93496704,0,0,0,91739069.97
1/4/12,20,22.13707886,19.07976685,82.82724762,0,0,0,90001993.64
1/4/12,21,21.82766113,19.1802002,84.93515015,0,0,0,88510605.99
1/4/12,22,21.5440918,19.25789795,86.83921814,0,0,0,87402685.66
1/4/12,23,21.33483276,19.29122314,88.14186859,0,0,0,0
1/4/12,24,21.21602783,19.31212769,88.90200806,0,0,0,0
1/5/12,1,21.21532593,19.30635986,88.87381744,0,0,0,0
1/5/12,2,21.17391357,19.3008667,89.06952667,0,0,0,0
1/5/12,3,21.01101074,19.29909668,89.95493317,0,0,0,0
1/5/12,4,20.85930786,19.30831299,90.84972382,0,0,0,0
1/5/12,5,20.75252686,19.34694824,91.66885376,0,0,0,0
1/5/12,6,20.69161377,19.38848267,92.25140381,0,0,0,0
1/5/12,7,20.69683228,19.42077026,92.4070282,0,0,0,92667177.27
1/5/12,8,20.85537109,19.23381958,90.45137024,30,163,20,89178069.51
1/5/12,9,21.57235107,18.88961182,84.72138977,212,548,70,98291462.07
1/5/12,10,22.68895874,18.70348511,78.23486328,401,719,92,113108734
1/5/12,11,23.55193481,18.61089478,73.82830811,553,801,105,123056820.7
1/5/12,12,24.08239136,18.48015747,70.92690277,648,839,112,126995886.3
1/5/12,13,24.36651001,18.34993896,69.16194153,678,849,114,127649693.8
1/5/12,14,24.40575562,18.25560913,68.59262085,640,834,112,136801114.8
1/5/12,15,24.22854004,18.21242676,69.13734436,537,789,105,140671391.1
1/5/12,16,23.78942261,18.24782715,71.14302826,380,699,92,140946466.5
1/5/12,17,23.1083313,18.62392578,75.89407349,6,0,6,121629236.1
1/5/12,18,22.59447632,19.14693604,80.89318085,0,0,0,100075801.7
1/5/12,19,22.35564575,19.35830078,83.16287994,0,0,0,92821351.06
1/5/12,20,22.15578613,19.35469971,84.1618042,0,0,0,91168656.42
1/5/12,21,21.95021973,19.29271851,84.89482117,0,0,0,89933598.79
1/5/12,22,21.70134888,19.22969971,85.85732269,0,0,0,88492305.48
1/5/12,23,21.41704712,19.18203125,87.10472107,0,0,0,0
1/5/12,24,21.17608032,19.17907104,88.38472748,0,0,0,0
1/6/12,1,20.99770508,19.21837769,89.57713318,0,0,0,0
1/6/12,2,20.82949219,19.25942383,90.74002838,0,0,0,0
1/6/12,3,20.65780029,19.28994141,91.87866211,0,0,0,0
1/6/12,4,20.51159058,19.39519653,93.31938934,0,0,0,0
1/6/12,5,20.41454468,19.59395752,95.04670715,0,0,0,0
1/6/12,6,20.3822876,19.80840454,96.51187897,0,0,0,0
1/6/12,7,20.48531494,20.01943359,97.16233063,0,0,0,95627487.14
1/6/12,8,20.83632813,20.04342041,95.22514343,29,158,20,92335609.76
1/6/12,9,21.47643433,19.90960083,90.80139923,86,0,86,97433087.48
1/6/12,10,22.33452759,19.85262451,85.86540222,244,129,188,99892610.57
1/6/12,11,23.18465576,19.71483765,80.85781097,549,795,104,120188209.9
1/6/12,12,23.80904541,19.40307007,76.37658691,462,250,302,123410349.2
1/6/12,13,24.14827881,19.10021362,73.43780518,398,116,320,120013764.3
1/6/12,14,24.17022095,18.93630371,72.59522247,490,326,283,129723522.6
1/6/12,15,23.83114014,18.98946533,74.33514404,32,0,32,114698540.9
1/6/12,16,23.18789063,19.26174316,78.5971756,268,226,174,118904036.4
1/6/12,17,22.39849243,19.59188232,84.15960693,139,190,93,117688589.2
1/6/12,18,21.61968384,19.78231201,89.30169678,0,0,0,99598115.47
1/6/12,19,20.84523926,19.65230713,92.89360046,0,0,0,91678797.7
1/6/12,20,19.83132324,18.90950928,94.42692566,0,0,0,86429293.07
1/6/12,21,18.46090088,17.29979858,92.95477295,0,0,0,78684927.29
1/6/12,22,17.2388855,15.38927612,88.88830566,0,0,0,69670240.81
1/6/12,23,16.58031616,14.2880188,86.33135986,0,0,0,0
1/6/12,24,16.13613281,13.93578491,86.80391693,0,0,0,0
1/7/12,1,15.62630615,13.71486816,88.40113068,0,0,0,0
1/7/12,2,15.20699463,13.56578979,89.93455505,0,0,0,0
1/7/12,3,14.99697266,13.53359375,90.96625519,0,0,0,0
1/7/12,4,14.88778076,13.45247803,91.12535095,0,0,0,0
1/7/12,5,14.7925354,13.18511353,90.1020813,0,0,0,0
1/7/12,6,14.75948486,12.9019104,88.63924408,0,0,0,0
1/7/12,7,14.81994019,12.6793457,87.01789093,0,0,0,55971983.2
1/7/12,8,14.79781494,12.01259766,83.40834808,32,178,21,52975403.98
1/7/12,9,14.99648438,11.02803955,77.15937805,225,589,73,51494201.34
1/7/12,10,15.73513184,10.35375366,70.35999298,425,766,95,55133157.7
1/7/12,11,16.63277588,9.94487915,64.65594482,584,850,108,60806617.81
1/7/12,12,17.39815674,9.621820068,60.27709961,685,888,115,64860386.35
1/7/12,13,17.94783936,9.456567383,57.58227158,716,898,117,66945341.16
1/7/12,14,18.27987061,9.746820068,57.50322342,677,882,115,67971240.65
1/7/12,15,18.4477478,10.54442749,60.01626968,569,836,108,68260142.15
1/7/12,16,18.42910156,11.53600464,64.17271423,405,745,95,67509491.03
1/7/12,17,18.34813843,12.69686279,69.61859131,208,564,71,65033230.1
1/7/12,18,18.3855835,13.7100769,74.20152283,0,0,0,62388790.45
1/7/12,19,18.4142395,14.19350586,76.42764282,0,0,0,0
1/7/12,20,18.39663086,14.44768677,77.78014374,0,0,0,0
1/7/12,21,18.40566406,14.67055664,78.86253357,0,0,0,0
1/7/12,22,18.41051636,14.85268555,79.76945496,0,0,0,0
1/7/12,23,18.41658936,15.02105103,80.60800171,0,0,0,0
1/7/12,24,18.44173584,15.20922241,81.46035767,0,0,0,0
1/8/12,1,18.46627197,15.38536987,82.26009369,0,0,0,0
1/8/12,2,18.45583496,15.52788696,83.06931305,0,0,0,0
1/8/12,3,18.38857422,15.64870605,84.06816864,0,0,0,0
1/8/12,4,18.33266602,15.77080688,85.02494812,0,0,0,0
1/8/12,5,18.35708008,15.92705688,85.74694824,0,0,0,0
1/8/12,6,18.43108521,16.08480225,86.21395111,0,0,0,0
1/8/12,7,18.55935059,16.19091187,86.10483551,0,0,0,0
1/8/12,8,18.73583374,15.90023193,83.59441376,30,166,20,0
1/8/12,9,19.23226318,15.39626465,78.47216034,216,562,71,0
1/8/12,10,20.09734497,15.20473633,73.46112823,409,734,93,16062420.73
1/8/12,11,20.88851318,15.18465576,69.87216187,564,816,106,55666145.34
1/8/12,12,21.45031128,15.21740112,67.64666748,662,855,113,52372972.95
1/8/12,13,21.78945313,15.27407227,66.49956512,420,139,326,46061084.04
1/8/12,14,21.9036499,15.26262817,65.9890976,660,856,113,61237194.43
1/8/12,15,21.80315552,15.17363892,66.01676941,558,815,107,54240500.84
1/8/12,16,21.44442139,15.07195435,67.04153442,401,730,94,47437854.79
1/8/12,17,20.94750366,15.23360596,69.83848572,208,557,71,57601353.76
1/8/12,18,20.625177,15.51473389,72.53404999,0,0,0,12110569.81
1/8/12,19,20.4729248,15.5402771,73.3380661,0,0,0,0
1/8/12,20,20.34349976,15.45510254,73.52373505,0,0,0,0
1/8/12,21,20.23067627,15.35286865,73.55416107,0,0,0,0
1/8/12,22,20.08394775,15.26992188,73.83042908,0,0,0,0
1/8/12,23,19.88085327,15.26378784,74.73530579,0,0,0,0
1/8/12,24,19.63970337,15.31130371,76.09319305,0,0,0,0
1/9/12,1,19.34136353,15.40673218,77.9934082,0,0,0,0
1/9/12,2,18.93358765,15.53841553,80.67893982,0,0,0,0
1/9/12,3,18.39238892,15.67217407,84.17442322,0,0,0,0
1/9/12,4,17.77810059,15.74456177,87.89235687,0,0,0,0
1/9/12,5,17.08895264,15.7227417,91.67298889,0,0,0,0
1/9/12,6,16.44616089,15.58092651,94.62688446,0,0,0,0
1/9/12,7,16.09041748,15.29830322,95.05766296,0,0,0,63106499.5
1/9/12,8,16.12862549,14.48156128,89.96836853,30,169,20,59845466.38
1/9/12,9,16.78118286,13.44063721,80.67576599,220,572,72,62554501.68
1/9/12,10,18.00222168,12.94564209,72.31459808,417,748,94,70269154.91
1/9/12,11,19.32860718,12.77755127,65.82994843,574,831,107,77897484.78
1/9/12,12,20.34456787,12.71090088,61.54281998,672,867,114,82310663.96
1/9/12,13,20.93590698,12.75377808,59.50787735,703,875,116,83946041.55
1/9/12,14,21.18175659,12.87352905,59.07725143,663,858,114,86683795.72
1/9/12,15,21.16143188,13.02849731,59.75319672,559,812,107,88682397.22
1/9/12,16,20.93453369,13.31392822,61.73084259,399,723,94,92275078.12
1/9/12,17,20.72734985,14.10732422,65.83070374,207,547,71,91680404.45
1/9/12,18,20.68764648,14.81951294,69.09900665,0,0,0,79680111.8
1/9/12,19,20.67211304,15.0135437,70.03447723,0,0,0,74847463.25
1/9/12,20,20.64388428,15.15950928,70.81773376,0,0,0,72954157.66
1/9/12,21,20.62636719,15.32039795,71.63043213,0,0,0,71869686.94
1/9/12,22,20.61483154,15.54458008,72.71921539,0,0,0,71456448.58
1/9/12,23,20.62200317,15.85076294,74.12510681,0,0,0,0
1/9/12,24,20.64577637,16.17775879,75.57775879,0,0,0,0
1/10/12,1,20.66488037,16.49257813,77.01738739,0,0,0,0
1/10/12,2,20.70238647,16.78920898,78.3012619,0,0,0,0
1/10/12,3,20.78606567,17.05391846,79.21702576,0,0,0,0
1/10/12,4,20.88991699,17.32006226,80.04886627,0,0,0,0
1/10/12,5,20.96776733,17.61766968,81.17729187,0,0,0,0
1/10/12,6,21.0135437,17.900354,82.40340424,0,0,0,0
1/10/12,7,21.12658081,18.13552246,83.0519104,0,0,0,81698111.26
1/10/12,8,21.51549683,18.16335449,81.23733521,19,29,17,81687379.22
1/10/12,9,22.16512451,18.05825195,77.56478882,143,161,101,86389469.98
1/10/12,10,22.8434082,18.00914917,74.20436096,405,724,92,95024554.23
